prefix,count
ghiandole,14
antenne,9
artigli,8
coda,8
branchie,7
filamenti,6
ali,5
circolazione,5
enzimi,5
membrane,5
camere,4
cartilagini,4
denti,4
capillari,3
carapace,3
lamelle,3
occhi,3
scheletro,3
appendici,2
articolazioni,2
aura,2
batteri,2
biofilm,2
canto,2
ciste,2
cisti,2
coralli,2
cuticole,2
gusci,2
lamine,2
lingua,2
luminescenza,2
mucose,2
nodi,2
organi,2
rostro,2
sacche,2
sensori,2
squame,2
vello,2
armatura,1
artiglio,1
baffi,1
barbigli,1
barriere,1
biochip,1
bozzolo,1
bulbi,1
campo,1
cannone,1
capsule,1
carapaci,1
cartilagine,1
cavita,1
cervelletto,1
cervello,1
chemiorecettori,1
chioma,1
cinghia,1
colonne,1
comunicazione,1
corna,1
coscienza,1
criostasi,1
cromofori,1
cuore,1
cuscinetti,1
cute,1
echi,1
eco,1
ectotermia,1
elettromagnete,1
empatia,1
epidermide,1
epitelio,1
ermafroditismo,1
estroflessione,1
fagocitosi,1
filtrazione,1
filtri,1
filtro,1
flagelli,1
flusso,1
focus,1
foliage,1
foliaggio,1
frusta,1
ghiaccio,1
ghiandola,1
giunti,1
grassi,1
integumento,1
ipertrofia,1
linfa,1
locomozione,1
mantelli,1
mantello,1
membrana,1
metabolismo,1
midollo,1
mimetismo,1
moltiplicazione,1
motore,1
mucillagine,1
nucleo,1
olfatto,1
pathfinder,1
pelage,1
pianificatore,1
piume,1
polmoni,1
random,1
respiro,1
rete,1
risonanza,1
sangue,1
scivolamento,1
scudo,1
secrezione,1
seta,1
siero,1
sinapsi,1
sistemi,1
sonno,1
spore,1
struttura,1
tattiche,1
unghie,1
ventriglio,1
visione,1
zampe,1
zanne,1
zoccoli,1
impulsi,1
nebbia,1
lobi,1
placca,1
spicole,1
secrezioni,1
corazze,1
bioantenne,1
emettitori,1
emolinfa,1
placche,1
scintilla,1
riverbero,1
pelle,1
vortice,1
